Date,Temp
1945-03-31,24.793000000000006
1945-04-30,22.71
1945-05-31,22.438
1945-06-30,22.506
1945-07-31,23.355999999999998
1945-08-31,20.968000000000004
1945-09-30,21.874
1945-10-31,22.92
1945-11-30,23.275
1945-12-31,25.958
1946-01-31,28.044
1946-02-28,26.189
1946-03-31,24.309
1946-04-30,24.945999999999998
1946-05-31,23.399
1946-06-30,22.833
1946-07-31,23.117
1946-08-31,22.929000000000002
1946-09-30,22.611
1946-10-31,23.561
1946-11-30,24.236
1946-12-31,26.48
1947-01-31,27.177000000000003
1947-02-28,25.578000000000007
1947-03-31,24.664
1947-04-30,24.861
1947-05-31,24.237
1947-06-30,22.092
1947-07-31,21.569000000000006
1947-08-31,21.509
1947-09-30,20.359
1947-10-31,21.576999999999998
1947-11-30,23.398000000000003
1947-12-31,26.992
1948-01-31,26.826
1948-02-29,25.54
1948-03-31,24.904
1948-04-30,24.015
1948-05-31,23.52
1948-06-30,23.994
1948-07-31,21.724
1948-08-31,21.932
1948-09-30,21.629
1948-10-31,23.055
1948-11-30,24.079
1948-12-31,25.609
1949-01-31,25.748
1949-02-28,27.52
1949-03-31,24.565
1949-04-30,23.305999999999997
1949-05-31,24.133000000000006
1949-06-30,22.186999999999998
1949-07-31,21.908
1949-08-31,21.163
1949-09-30,20.8
1949-10-31,22.032
1949-11-30,23.799
1949-12-31,25.467
1950-01-31,26.409000000000002
1950-02-28,26.309
1950-03-31,25.245
1950-04-30,24.778
1950-05-31,23.792
1950-06-30,22.653
1950-07-31,23.203000000000007
1950-08-31,22.364
1950-09-30,21.776
1950-10-31,22.203000000000007
1950-11-30,24.194000000000006
1950-12-31,25.556
1951-01-31,26.180000000000003
1951-02-28,25.805
1951-03-31,23.389
1951-04-30,23.774
1951-05-31,22.732
1951-06-30,21.523000000000003
1951-07-31,20.843000000000004
1951-08-31,21.565
1951-09-30,21.912
1951-10-31,22.943
1951-11-30,22.826999999999998
1951-12-31,25.673000000000002
1952-01-31,25.989
1952-02-29,26.337
1952-03-31,24.121
1952-04-30,23.843000000000004
1952-05-31,23.579
1952-06-30,22.763
1952-07-31,23.021
1952-08-31,21.623
1952-09-30,22.945
1952-10-31,23.115
1952-11-30,24.604
1952-12-31,26.665
1953-01-31,26.117
1953-02-28,26.945
1953-03-31,25.096
1953-04-30,24.182
1953-05-31,23.484
1953-06-30,21.624
1953-07-31,22.164
1953-08-31,22.674
1953-09-30,22.528
1953-10-31,22.73
1953-11-30,23.912
1953-12-31,26.814
1954-01-31,27.211
1954-02-28,26.791999999999998
1954-03-31,24.539
1954-04-30,24.014
1954-05-31,24.228
1954-06-30,23.239
1954-07-31,22.459
1954-08-31,22.591
1954-09-30,21.677
1954-10-31,22.948
1954-11-30,24.164
1954-12-31,25.473000000000006
1955-01-31,26.797
1955-02-28,26.336
1955-03-31,24.53
1955-04-30,23.692
1955-05-31,23.285
1955-06-30,22.925
1955-07-31,21.958
1955-08-31,21.905
1955-09-30,20.603
1955-10-31,21.706
1955-11-30,24.201999999999998
1955-12-31,27.443
1956-01-31,26.44
1956-02-29,26.024
1956-03-31,24.75
1956-04-30,22.865
1956-05-31,22.169
1956-06-30,22.287
1956-07-31,20.897
1956-08-31,22.393
1956-09-30,21.480999999999998
1956-10-31,21.695999999999998
1956-11-30,23.25
1956-12-31,26.195
1957-01-31,26.278000000000002
1957-02-28,26.180999999999997
1957-03-31,24.844
1957-04-30,23.615
1957-05-31,23.222
1957-06-30,22.429
1957-07-31,22.434
1957-08-31,21.449
1957-09-30,23.386
1957-10-31,22.639
1957-11-30,25.003
1957-12-31,26.546
1958-01-31,27.736
1958-02-28,26.41
1958-03-31,24.801
1958-04-30,24.238000000000003
1958-05-31,23.469
1958-06-30,23.483
1958-07-31,23.669
1958-08-31,22.102
1958-09-30,22.751
1958-10-31,24.502
1958-11-30,25.692
1958-12-31,26.393
1959-01-31,27.65
1959-02-28,26.0
1959-03-31,27.225
1959-04-30,24.936
1959-05-31,23.219
1959-06-30,24.021
1959-07-31,22.615
1959-08-31,22.839000000000002
1959-09-30,22.831
1959-10-31,23.0
1959-11-30,24.648000000000003
1959-12-31,25.55
1960-01-31,25.859
1960-02-29,25.496
1960-03-31,24.409
1960-04-30,22.956
1960-05-31,22.871
1960-06-30,22.651
1960-07-31,22.701999999999998
1960-08-31,22.034000000000002
1960-09-30,24.032
1960-10-31,23.070999999999998
1960-11-30,23.978
1960-12-31,25.923000000000002
1961-01-31,26.616000000000003
1961-02-28,26.392
1961-03-31,25.730999999999998
1961-04-30,24.230999999999998
1961-05-31,24.013
1961-06-30,23.237
1961-07-31,23.312
1961-08-31,24.108
1961-09-30,23.69
1961-10-31,23.998
1961-11-30,24.381
1961-12-31,25.241
1962-01-31,26.096
1962-02-28,26.427
1962-03-31,24.695999999999998
1962-04-30,23.38
1962-05-31,21.831
1962-06-30,21.762
1962-07-31,22.01
1962-08-31,21.955
1962-09-30,21.168000000000006
1962-10-31,22.89
1962-11-30,23.816
1962-12-31,26.619
1963-01-31,26.241000000000003
1963-02-28,27.351999999999997
