,Date,Temp
1277,1938-06-01,23.086
1278,1938-07-01,22.276999999999997
1279,1938-08-01,21.726
1280,1938-09-01,21.932
1281,1938-10-01,22.011
1282,1938-11-01,23.143
1283,1938-12-01,23.816
1284,1939-01-01,25.784
1285,1939-02-01,26.868000000000002
1286,1939-03-01,27.127
1287,1939-04-01,24.907
1288,1939-05-01,24.811999999999998
1289,1939-06-01,23.738000000000003
1290,1939-07-01,21.878
1291,1939-08-01,22.7
1292,1939-09-01,21.103
1293,1939-10-01,21.568
1294,1939-11-01,23.007
1295,1939-12-01,23.914
1296,1940-01-01,26.026
1297,1940-02-01,25.728
1298,1940-03-01,26.471
1299,1940-04-01,26.057
1300,1940-05-01,25.015
1301,1940-06-01,23.834
1302,1940-07-01,23.511
1303,1940-08-01,22.287
1304,1940-09-01,21.214000000000002
1305,1940-10-01,21.674
1306,1940-11-01,22.329
1307,1940-12-01,25.953000000000007
1308,1941-01-01,26.356
1309,1941-02-01,27.437
1310,1941-03-01,26.105999999999998
1311,1941-04-01,26.872
1312,1941-05-01,25.029
1313,1941-06-01,22.913
1314,1941-07-01,22.355
1315,1941-08-01,23.568
1316,1941-09-01,20.389
1317,1941-10-01,21.599
1318,1941-11-01,23.565
1319,1941-12-01,24.436
1320,1942-01-01,26.275
1321,1942-02-01,27.471
1322,1942-03-01,27.092
1323,1942-04-01,25.003
1324,1942-05-01,24.057
1325,1942-06-01,23.425
1326,1942-07-01,21.058000000000003
1327,1942-08-01,22.06
1328,1942-09-01,21.461
1329,1942-10-01,22.082
1330,1942-11-01,22.957
1331,1942-12-01,23.354
1332,1943-01-01,24.974
1333,1943-02-01,26.38900000000001
1334,1943-03-01,26.779
1335,1943-04-01,23.737
1336,1943-05-01,24.35
1337,1943-06-01,24.157
1338,1943-07-01,22.593000000000004
1339,1943-08-01,20.614
1340,1943-09-01,20.985
1341,1943-10-01,21.652
1342,1943-11-01,22.967
1343,1943-12-01,23.277
1344,1944-01-01,26.11
1345,1944-02-01,26.263
1346,1944-03-01,27.14
1347,1944-04-01,24.168000000000006
1348,1944-05-01,23.185
1349,1944-06-01,23.569000000000006
1350,1944-07-01,21.699
1351,1944-08-01,22.287
1352,1944-09-01,22.143
1353,1944-10-01,23.328000000000007
1354,1944-11-01,22.541
1355,1944-12-01,23.743
1356,1945-01-01,25.333
1357,1945-02-01,26.97300000000001
1358,1945-03-01,26.156
1359,1945-04-01,24.793000000000006
1360,1945-05-01,22.71
1361,1945-06-01,22.438
1362,1945-07-01,22.506
1363,1945-08-01,23.355999999999998
1364,1945-09-01,20.968000000000004
1365,1945-10-01,21.874
1366,1945-11-01,22.92
1367,1945-12-01,23.275
1368,1946-01-01,25.958
1369,1946-02-01,28.044
1370,1946-03-01,26.189
1371,1946-04-01,24.309
1372,1946-05-01,24.945999999999998
1373,1946-06-01,23.399
1374,1946-07-01,22.833
1375,1946-08-01,23.117
1376,1946-09-01,22.929000000000002
1377,1946-10-01,22.611
1378,1946-11-01,23.561
1379,1946-12-01,24.236
1380,1947-01-01,26.48
1381,1947-02-01,27.177000000000003
1382,1947-03-01,25.578000000000007
1383,1947-04-01,24.664
1384,1947-05-01,24.861
1385,1947-06-01,24.237
1386,1947-07-01,22.092
1387,1947-08-01,21.569000000000006
1388,1947-09-01,21.509
1389,1947-10-01,20.359
1390,1947-11-01,21.576999999999998
